Clients Requests Failures Throughput Latency
2 1000 0 1.9878736720387797 1.0083428743
4 2000 0 2.400653172405871 1.6868549513
6 3000 0 2.2482609395120225 2.6949890625333333
8 4000 0 2.3642923235616466 3.3946889713
10 5000 0 3.1304730529475004 3.21251904476
12 6000 0 2.8822501593157503 4.209594413366666
14 7000 0 2.754798903134461 5.110766537971429
16 8000 0 2.8331413578167663 5.740624493225
18 9000 0 2.7935260755429594 6.491597280422222
20 10000 0 3.38726115449084 6.20543097958
40 20000 0 3.7924772754849627 13.96852492013
